# Chapter 01: Simple - Narration Script
# Format: duration|URL|text
# Pronunciation: Use spaces for acronyms (P H P)

# --- Hook ---
5|http://localhost:8080/01-Simple/public/index.php|Thirty-two lines of P H P. That's all it takes to build a complete web application.

# --- Introduction ---
6|http://localhost:8080/01-Simple/public/index.php|Welcome to Simple P H P Examples, Chapter One. We're exploring modern P H P 8.5 in its most minimal form.

# --- Live Demo ---
5|http://localhost:8080/01-Simple/public/index.php|Here's our finished app. Three pages, clean navigation, zero dependencies.
5|http://localhost:8080/01-Simple/public/index.php?m=about|Click About and the U R L parameter changes. Simple routing without a framework.
4|http://localhost:8080/01-Simple/public/index.php?m=contact|Contact works the same way. Now let's see how it's built.

# --- Code Walkthrough ---
7|https://github.com/markc/spe/blob/main/01-Simple/public/index.php#L4|One anonymous class that echoes itself. Everything self-contained in a single file.
6|https://github.com/markc/spe/blob/main/01-Simple/public/index.php#L5|A typed constant defines the default page. This is a P H P 8.3 feature for type-safe constants.
7|https://github.com/markc/spe/blob/main/01-Simple/public/index.php#L6-L10|The pages array maps route names to display names and content. Simple data structure, no database needed.
8|https://github.com/markc/spe/blob/main/01-Simple/public/index.php#L11-L12|P H P 8.4's asymmetric visibility. Public read, private write. Clean encapsulation without getters.

# --- Pipe Operator Focus ---
9|https://github.com/markc/spe/blob/main/01-Simple/public/index.php#L14-L17|Here's the star of the show. The P H P 8.5 pipe operator with first-class callables.
7|https://github.com/markc/spe/blob/main/01-Simple/public/index.php#L15|Each result flows to the next function. Trim, sanitize, then apply default. One clean expression.

# --- Output Generation ---
7|https://github.com/markc/spe/blob/main/01-Simple/public/index.php#L19-L31|The toString method builds our H T M L. Navigation is generated dynamically from the pages array.
6|https://github.com/markc/spe/blob/main/01-Simple/public/index.php#L20-L21|Array keys, map, implode... all piped together for clean data transformation.

# --- Conclusion ---
6|https://github.com/markc/spe/blob/main/01-Simple/public/index.php|That's Chapter One. Typed constants, asymmetric visibility, and the pipe operator in 32 lines.
4|http://localhost:8080/01-Simple/public/index.php|Next up, we add some style with external C S S and JavaScript.
